id,ELA,dELA,summit,debris_cov,morph_type,orientation,length,area,P_01_mean,P_02_mean,P_03_mean,P_04_mean,P_05mean,P_06_mean,P_07_mean,P_08_mean,P_09_mean,P_10_mean,P_11_mean,P_12_mean,P_snow,P_year,P_monsoon,P_not_monsoon,T_MIN_mean.1,T_MIN_mean.2,T_MIN_mean.3,T_MIN_mean.4,T_MIN_mean.5,T_MIN_mean.6,T_MIN_mean.7,T_MIN_mean.8,T_MIN_mean.9,T_MIN_mean.10,T_MIN_mean.11,T_MIN_mean.12,T_MIN_mean_monsoon,T_MIN_mean_not_monsoon,T_MAX_mean.1,T_MAX_mean.2,T_MAX_mean.3,T_MAX_mean.4,T_MAX_mean.5,T_MAX_mean.6,T_MAX_mean.7,T_MAX_mean.8,T_MAX_mean.9,T_MAX_mean.10,T_MAX_mean.11,T_MAX_mean.12,T_MAX_mean_monsoon,T_MAX_mean_not_monsoon,T_mean_mea.1,T_mean_mea.2,T_mean_mea.3,T_mean_mea.4,T_mean_mea.5,T_mean_mea.6,T_mean_mea.7,T_mean_mea.8,T_mean_mea.9,T_mean_mea.10,T_mean_mea.11,T_mean_mea.12,T_mean_mea.yr,T_mean_monsoon,T_mean_not_monsoon,Slope_min,Slope_max,Slope_mean,Elev_min,Elev_max,Elev_mean
1,5380,58,5710,0,2,N,4075.911403,664989.8791,3.604651,10.546512,25.44186,39.011628,66.186047,134.744186,119.011628,110.430233,102.034884,50.418605,9.697674,3.604651,91.906976,674.732559,532.406978,142.325581,-18.2492528,-16.313656,-13.0612838,-9.6763286,-4.9852846,0.2335423,2.5479787,2.0971342,-0.6612572,-6.728029,-13.1399607,-17.1313931,-0.15357732,-13.47141486,-7.611,-6.2960233,-3.6978851,-0.6327325,3.5838319,6.9559093,9.0013127,8.7408907,5.967238,0.5313992,-3.729256,-6.3053688,6.84983652,-3.962980929,-12.9430233,-11.2848837,-8.3546512,-5.1511628,-0.6848837,3.6046512,5.8,5.4104651,2.6546512,-3.0895349,-8.4453488,-11.7,-3.6819767,3.35697676,-8.709800671,12.895554,44.746712,25.135941,5141,5692,5374.891304
2,5382,24,5750,0,2,N,4644.912269,838573.9825,4,11.981481,30.064815,45.435185,75.027778,146.805556,129.287037,119.37963,111.814815,56.407407,11.472222,4,106.953703,745.675926,582.314816,163.36111,-18.6945964,-16.7813947,-13.5602801,-10.1834201,-5.4565054,-0.2123263,2.1142985,1.6526949,-1.1123362,-7.179971,-13.604107,-17.5874566,-0.6028349,-13.9416037,-8.0610541,-6.7683558,-4.1979655,-1.1400703,3.1079857,6.5045926,8.5636095,8.2926297,5.5107567,0.0738644,-4.1956453,-6.7664695,6.39591484,-4.436528014,-13.3657407,-11.7611111,-8.8666667,-5.6435185,-1.1611111,3.1407407,5.337963,4.9407407,2.2111111,-3.5592593,-8.8935185,-12.1611111,-4.1484569,2.89388888,-9.1787037,7.411279,38.406891,21.496712,5167,5756,5459.547826
3,5438,23,5715,0,2,NE,3182.226824,541717.0699,4.619718,12.619718,32.042254,50.830986,82.591549,147.478873,125.830986,111.732394,114.084507,60.478873,12.323944,4.323944,116.760564,758.957746,581.718309,177.239437,-18.468838,-16.5457031,-13.3291772,-9.9575622,-5.2556256,-0.0084092,2.3027768,1.847562,-0.9032883,-6.9655562,-13.3856308,-17.349095,-0.40339686,-13.71450893,-7.8472766,-6.5429619,-3.9595438,-0.9057638,3.2902822,6.6862917,8.7393142,8.475251,5.6970535,0.2643727,-3.9782251,-6.5419495,6.57763852,-4.215906857,-13.1647887,-11.5619718,-8.6239437,-5.4239437,-0.9802817,3.3352113,5.5197183,5.1535211,2.3929577,-3.3647887,-8.6802817,-11.9464789,-3.9454225,3.08422534,-8.9665996,11.108246,39.946957,25.250261,5236,5709,5478.797297
4,5518,110,5760,0,3,NW,3011.280763,355292.0515,4,12.232558,30.418605,45.906977,76.488372,147.604651,129.302326,118.511628,113.186047,57.627907,11.44186,4,165.627907,750.720931,585.093024,165.627907,-18.8072936,-16.8950218,-13.7042719,-10.3243584,-5.5941906,-0.3382755,1.9813812,1.5201504,-1.2465228,-7.3064266,-13.7359125,-17.7048249,-0.73549146,-14.06830139,-8.1926605,-6.9022166,-4.3569137,-1.2913429,2.9580643,6.3647154,8.4166714,8.1468506,5.3635606,-0.0655055,-4.3413066,-6.9036099,6.24997246,-4.579079386,-13.4930233,-11.8860465,-9.0488372,-5.8255814,-1.2860465,3.0139535,5.1883721,4.8139535,2.0813953,-3.6860465,-9.0767442,-12.2860465,-4.2908919,2.76232558,-9.328903657,8.473933,37.291336,24.673622,5344,5794,5533.291667
5,5388,73,5675,0,2,N,7851.854973,1593921.843,4.736585,13.873171,35.941463,55.687805,91.77561,174.160976,150.278049,134.204878,133.35122,71.858537,13.702439,4.736585,128.678048,884.307318,683.770733,200.536585,-18.5358308,-16.6053354,-13.3700076,-9.9662043,-5.2448518,-0.0250931,2.2878054,1.8264091,-0.9417895,-7.012158,-13.4155821,-17.4374809,-0.41950398,-13.76322844,-7.9065692,-6.6050581,-4.0553068,-0.963372,3.3409442,6.7193407,8.7409508,8.4701734,5.7122756,0.2779055,-4.0296851,-6.6213024,6.59673694,-4.271912586,-13.2321951,-11.6058537,-8.7297561,-5.4556098,-0.9463415,3.3531707,5.5385366,5.1531707,2.3765854,-3.3468293,-8.7360976,-12.0360976,-3.9722766,3.09502438,-9.020348457,3.33356,34.858154,19.176851,5165,5665,5418.530973
6,5282,87,5620,0,2,NE,4727.341639,808472.291,4.116505,13.728155,34.805825,54.572816,89.466019,171.31068,148.116505,132.864078,131.436893,70.728155,13.116505,4,124.339806,868.262136,673.194175,195.067961,-18.2103155,-16.2711165,-13.009778,-9.6047899,-4.9072977,0.2916668,2.6063455,2.1444943,-0.6174379,-6.6855033,-13.0758078,-17.1032957,-0.0964458,-13.42294381,-7.585481,-6.2768375,-3.705098,-0.6098899,3.6788522,7.0370041,9.0569412,8.7858635,6.0382666,0.6073191,-3.6958465,-6.2921297,6.91938552,-3.936851929,-12.9106796,-11.2708738,-8.3378641,-5.1116505,-0.6116505,3.6699029,5.8339806,5.4737864,2.7291262,-3.0300971,-8.4106796,-11.7106796,-3.6406146,3.41902912,-8.683217757,2.77307,42.06028,23.93001,5149,5494,5324.982143
7,5395,85,5670,0,2,SE,3587.321421,289997.6618,4.324324,14.216216,36.513514,56.621622,93.297297,176.378378,151.108108,134.675676,135.135135,72.675676,13.324324,4.324324,129.324324,892.594594,690.594594,202,-18.5603648,-16.6321553,-13.4188292,-10.0201409,-5.2959552,-0.0688807,2.2423363,1.7765097,-0.9874086,-7.0513824,-13.4497545,-17.4600296,-0.4666797,-13.79895096,-7.9580032,-6.6606452,-4.1276331,-1.0340047,3.2742293,6.6578237,8.6760195,8.4019769,5.6504408,0.2233493,-4.0842437,-6.6717919,6.53209804,-4.330424643,-13.2405405,-11.6405405,-8.7864865,-5.4972973,-1.0135135,3.2864865,5.4621622,5.0864865,2.3216216,-3.4135135,-8.7783784,-12.0783784,-4.0243243,3.02864866,-9.062162157,4.757017,38.916145,20.350739,5263,5651,5425.725
8,5320,65,5610,0,2,N,6608.62357,1656817.106,3.848341,11.175355,28.327014,45.777251,77.450237,149.393365,129.838863,118.298578,114.066351,60.07109,10.772512,3.530806,103.431279,752.549763,589.047394,163.502369,-18.0090788,-16.0626,-12.8002351,-9.4081661,-4.7358227,0.4648035,2.7825223,2.3265583,-0.4301801,-6.4941355,-12.8841991,-16.8940462,0.08157626,-13.22178011,-7.391864,-6.0706522,-3.4722439,-0.3924597,3.8306347,7.1854474,9.2237152,8.9589899,6.1989438,0.7680475,-3.4972402,-6.0896049,7.0795462,-3.735145343,-12.7009479,-11.0862559,-8.1146919,-4.9132701,-0.4298578,3.8033175,5.9990521,5.6402844,2.8895735,-2.871564,-8.2009479,-11.5009479,-3.4571881,3.58047394,-8.484089371,3.054596,42.088871,16.005827,5088,5604,5292.441048
9,5425,125,5705,0,2,N,5034.163437,1174992.268,4.554054,12.77027,32.135135,50.472973,82.195946,150.506757,127.75,114.364865,115.878378,60.452703,12.466216,4.554054,116.952702,768.101351,590.695946,177.405405,-18.6043285,-16.691108,-13.4965847,-10.1244378,-5.4062619,-0.1581731,2.1572954,1.698402,-1.0518005,-7.112021,-13.525648,-17.4871595,-0.55210762,-13.86304107,-8.0034298,-6.7115716,-4.1499987,-1.0899436,3.1305288,6.5265876,8.5800577,8.3131922,5.5400707,0.1099073,-4.1365287,-6.7010729,6.4180874,-4.383234,-13.3141892,-11.7135135,-8.7871622,-5.5871622,-1.122973,3.1858108,5.3763514,4.9858108,2.2513514,-3.5141892,-8.822973,-12.1141892,-4.0980858,2.93527028,-9.121911214,2.558897,39.572319,19.050284,5222,5648,5452.317073
10,5255,25,5455,0,2,W,2243.173994,357297.4264,4.711111,15,38.777778,58.4,94.4,177.666667,151.311111,134.022222,136.022222,75.311111,14.711111,5,136.6,905.333333,693.422222,211.911111,-17.7208051,-15.7493945,-12.4668229,-9.0552002,-4.3987307,0.7719965,3.0815506,2.6227968,-0.1419979,-6.2015441,-12.5569531,-16.6092003,0.38712306,-12.90856003,-7.1189307,-5.7852816,-3.2089193,-0.0968032,4.1858445,7.5177631,9.5174599,9.250357,6.5177327,1.1013198,-3.205029,-5.8245562,7.39783144,-3.448314314,-12.4244444,-10.7511111,-7.8355556,-4.5866667,-0.1244444,4.1755556,6.2755556,5.9644444,3.1755556,-2.5244444,-7.9244444,-11.2244444,-3.1503703,3.89333336,-8.181587286,12.020564,25.694952,18.145107,5117,5355,5243
