X1,ID,Ozone,Solar,Wind,Temp,Month,Day,Date,Temp.C,Wind.ms
1,1,41,190,7.4,67,May,1,May-1,19.44,3.308001788109075
2,2,36,118,8,72,May,2,May-2,22.22,3.5762181493071075
3,3,12,149,12.6,74,May,3,May-3,23.33,5.632543585158694
4,4,18,313,11.5,62,May,4,May-4,16.67,5.1408135896289675
5,5,NA,NA,14.3,56,May,5,May-5,13.33,6.392489941886455
6,6,28,NA,14.9,66,May,6,May-6,18.89,6.660706303084488
7,7,23,299,8.6,65,May,7,May-7,18.33,3.8444345105051405
8,8,19,99,13.8,59,May,8,May-8,15,6.168976307554761
9,9,8,19,20.1,61,May,9,May-9,16.11,8.985248100134108
10,10,NA,194,8.6,69,May,10,May-10,20.56,3.8444345105051405
11,11,7,NA,6.9,74,May,11,May-11,23.33,3.0844881537773805
12,12,16,256,9.7,69,May,12,May-12,20.56,4.3361645060348675
13,13,11,290,9.2,66,May,13,May-13,18.89,4.112650871703173
14,14,14,274,10.9,68,May,14,May-14,20,4.8725972284309345
15,15,18,65,13.2,58,May,15,May-15,14.44,5.900759946356727
16,16,14,334,11.5,64,May,16,May-16,17.78,5.1408135896289675
17,17,34,307,12,66,May,17,May-17,18.89,5.364327223960661
18,18,6,78,18.4,57,May,18,May-18,13.89,8.225301743406346
19,19,30,322,11.5,68,May,19,May-19,20,5.1408135896289675
20,20,11,44,9.7,62,May,20,May-20,16.67,4.3361645060348675
21,21,1,8,9.7,59,May,21,May-21,15,4.3361645060348675
22,22,11,320,16.6,73,May,22,May-22,22.78,7.420652659812249
23,23,4,25,9.7,61,May,23,May-23,16.11,4.3361645060348675
24,24,32,92,12,61,May,24,May-24,16.11,5.364327223960661
25,25,NA,66,16.6,57,May,25,May-25,13.89,7.420652659812249
26,26,NA,266,14.9,58,May,26,May-26,14.44,6.660706303084488
27,27,NA,NA,8,57,May,27,May-27,13.89,3.5762181493071075
28,28,23,13,12,67,May,28,May-28,19.44,5.364327223960661
29,29,45,252,14.9,81,May,29,May-29,27.22,6.660706303084488
30,30,115,223,5.7,79,May,30,May-30,26.11,2.5480554313813144
31,31,37,279,7.4,76,May,31,May-31,24.44,3.308001788109075
32,32,NA,286,8.6,78,June,1,June-1,25.56,3.8444345105051405
33,33,NA,287,9.7,74,June,2,June-2,23.33,4.3361645060348675
34,34,NA,242,16.1,67,June,3,June-3,19.44,7.1971390254805545
35,35,NA,186,9.2,84,June,4,June-4,28.89,4.112650871703173
36,36,NA,220,8.6,85,June,5,June-5,29.44,3.8444345105051405
37,37,NA,264,14.3,79,June,6,June-6,26.11,6.392489941886455
38,38,29,127,9.7,82,June,7,June-7,27.78,4.3361645060348675
39,39,NA,273,6.9,87,June,8,June-8,30.56,3.0844881537773805
40,40,71,291,13.8,90,June,9,June-9,32.22,6.168976307554761
41,41,39,323,11.5,87,June,10,June-10,30.56,5.1408135896289675
42,42,NA,259,10.9,93,June,11,June-11,33.89,4.8725972284309345
43,43,NA,250,9.2,92,June,12,June-12,33.33,4.112650871703173
44,44,23,148,8,82,June,13,June-13,27.78,3.5762181493071075
45,45,NA,332,13.8,80,June,14,June-14,26.67,6.168976307554761
46,46,NA,322,11.5,79,June,15,June-15,26.11,5.1408135896289675
47,47,21,191,14.9,77,June,16,June-16,25,6.660706303084488
48,48,37,284,20.7,72,June,17,June-17,22.22,9.25346446133214
49,49,20,37,9.2,65,June,18,June-18,18.33,4.112650871703173
50,50,12,120,11.5,73,June,19,June-19,22.78,5.1408135896289675
51,51,13,137,10.3,76,June,20,June-20,24.44,4.604380867232901
52,52,NA,150,6.3,77,June,21,June-21,25,2.816271792579347
53,53,NA,59,1.7,76,June,22,June-22,24.44,0.7599463567277603
54,54,NA,91,4.6,76,June,23,June-23,24.44,2.0563254358515866
55,55,NA,250,6.3,76,June,24,June-24,24.44,2.816271792579347
56,56,NA,135,8,75,June,25,June-25,23.89,3.5762181493071075
57,57,NA,127,8,78,June,26,June-26,25.56,3.5762181493071075
58,58,NA,47,10.3,73,June,27,June-27,22.78,4.604380867232901
59,59,NA,98,11.5,80,June,28,June-28,26.67,5.1408135896289675
60,60,NA,31,14.9,77,June,29,June-29,25,6.660706303084488
61,61,NA,138,8,83,June,30,June-30,28.33,3.5762181493071075
62,62,135,269,4.1,84,July,1,July-1,28.89,1.8328118015198924
63,63,49,248,9.2,85,July,2,July-2,29.44,4.112650871703173
64,64,32,236,9.2,81,July,3,July-3,27.22,4.112650871703173
65,65,NA,101,10.9,84,July,4,July-4,28.89,4.8725972284309345
66,66,64,175,4.6,83,July,5,July-5,28.33,2.0563254358515866
67,67,40,314,10.9,83,July,6,July-6,28.33,4.8725972284309345
68,68,77,276,5.1,88,July,7,July-7,31.11,2.279839070183281
