earn,height,sex,race,hisp,ed,age,age.category,eth,male,log.earn
50000,74,1,1,2,16,45,2,3,1,10.8197782844103
60000,66,2,1,2,16,58,3,3,0,11.0020998412042
30000,64,2,1,2,16,29,1,3,0,10.3089526606443
51000,63,2,1,2,17,39,2,3,0,10.8395809117065
9000,64,2,1,2,15,26,1,3,0,9.10497985631836
29000,62,2,1,2,12,49,2,3,0,10.2750511089686
32000,73,1,1,2,17,46,2,3,1,10.3734911817819
2000,72,1,1,1,15,21,1,2,1,7.60090245954208
27000,72,1,1,2,12,26,1,3,1,10.2035921449865
30000,68,1,1,2,11,34,1,3,1,10.3089526606443
12000,68,1,1,2,12,27,1,3,1,9.39266192877014
12000,65,2,1,2,12,51,3,3,0,9.39266192877014
22000,66,2,1,2,16,35,2,3,0,9.99879773234045
17000,68,1,1,2,12,58,3,3,1,9.74096862303835
40000,68,2,1,2,14,29,1,3,0,10.5966347330961
44000,70,1,1,2,13,44,2,3,1,10.6919449129004
7000,64,2,2,2,12,55,3,1,0,8.85366542803745
53000,73,1,2,2,13,35,2,1,1,10.8780471925343
5000,62,2,1,2,13,51,3,3,0,8.51719319141624
14000,63,2,1,2,14,21,1,3,0,9.5468126085974
5500,67,1,1,2,14,22,1,3,1,8.61250337122056
40000,66,2,1,2,12,41,2,3,0,10.5966347330961
34000,72,1,1,2,12,45,2,3,1,10.4341158035983
10000,63,2,2,2,12,35,2,1,0,9.21034037197618
27000,64,2,1,2,16,60,3,3,0,10.2035921449865
50000,72,1,1,2,16,38,2,3,1,10.8197782844103
41000,77,1,1,2,16,33,1,3,1,10.6213273456864
15000,64,2,1,2,14,25,1,3,0,9.61580548008435
25000,64,2,1,2,12,33,1,3,0,10.1266311038503
75000,72,1,1,2,17,39,2,3,1,11.2252433925184
27000,68,1,1,2,17,31,1,3,1,10.2035921449865
12000,64,2,1,2,12,26,1,3,0,9.39266192877014
30000,67,2,2,2,14,31,1,1,0,10.3089526606443
21000,65,2,1,2,12,57,3,3,0,9.95227771670556
27000,64,2,1,2,14,26,1,3,0,10.2035921449865
25000,65,2,1,2,12,30,1,3,0,10.1266311038503
24000,65,2,1,2,12,41,2,3,0,10.0858091093301
32000,67,2,1,2,18,29,1,3,0,10.3734911817819
10000,68,2,1,2,17,30,1,3,0,9.21034037197618
11000,60,2,1,1,12,21,1,2,0,9.30565055178051
18700,65,2,1,2,13,32,1,3,0,9.83627880284268
20000,62,2,1,2,12,29,1,3,0,9.90348755253613
3500,72,1,1,2,10,18,1,3,1,8.1605182474775
13000,67,1,2,2,8,56,3,1,1,9.47270463644367
